keyword,estimated_intent,category,type,notes,search_volume,kd,cpc_eur,serp_features,priority_score,data_source,orig_cluster_name
aüg software cloud,commercial,cluster_01,longtail,Cloud,57,56,6.93,ads|site-links,1.0,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit software mac,commercial,cluster_01,longtail,Plattform,52,30,10.3,shopping,1.7,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit software windows,commercial,cluster_01,longtail,Plattform,44,31,8.2,site-links,1.4,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit software mobile app,commercial,cluster_01,longtail,Mobile,128,39,6.12,ads,3.3,estimated,Zeitarbeitssoftware & zvoove One
zeitarbeit komplettsystem,commercial,cluster_01,longtail,USP,33,51,4.97,ads|site-links,0.6,estimated,Zeitarbeitssoftware & zvoove One
lohnabrechnung zeitarbeit,commercial,cluster_02,head,Hauptbegriff,851,72,11.92,ads|site-links,11.8,estimated,Lohnabrechnung & Payroll
lohnabrechnung personaldienstleister,commercial,cluster_02,body,Zielgruppe,276,72,7.6,shopping|site-links,3.8,estimated,Lohnabrechnung & Payroll
lohnabrechnung software zeitarbeit,commercial,cluster_02,body,Tool-Suche,780,68,11.5,site-links,11.5,estimated,Lohnabrechnung & Payroll
zvoove payroll,commercial,cluster_02,head,Brand,3188,85,2.56,ads|shopping,37.5,estimated,Lohnabrechnung & Payroll
zvoove payroll preise,commercial,cluster_02,longtail,Kaufphase,88,44,2.68,ads|shopping,2.0,estimated,Lohnabrechnung & Payroll
zvoove payroll erfahrungen,commercial,cluster_02,longtail,Reviews,31,62,9.21,shopping,0.5,estimated,Lohnabrechnung & Payroll
payroll software zeitarbeit,commercial,cluster_02,body,Synonym,671,48,3.21,ads,14.0,estimated,Lohnabrechnung & Payroll
gehaltsabrechnung zeitarbeit,informational,cluster_02,body,Synonym,293,35,2.06,featured-snippet|people-also-ask,8.4,estimated,Lohnabrechnung & Payroll
gehaltsabrechnung software,commercial,cluster_02,head,Kategorie,3940,70,5.57,site-links,56.3,estimated,Lohnabrechnung & Payroll
gehaltsabrechnung outsourcing,commercial,cluster_02,body,Service-Modell,765,55,4.48,site-links,13.9,estimated,Lohnabrechnung & Payroll
lohnbuchhaltung zeitarbeit,informational,cluster_02,body,Buchhaltung,549,24,1.95,video,22.9,estimated,Lohnabrechnung & Payroll
lohnabrechnung erstellen,informational,cluster_02,body,DIY-Query,456,49,2.49,people-also-ask,9.3,estimated,Lohnabrechnung & Payroll
lohnabrechnung beispiel zeitarbeit,informational,cluster_02,longtail,Vorlagen-Suche,56,15,0.53,featured-snippet,3.7,estimated,Lohnabrechnung & Payroll
lohnabrechnung muster,informational,cluster_02,body,Vorlage,423,43,2.46,featured-snippet|people-also-ask,9.8,estimated,Lohnabrechnung & Payroll
lohnabrechnung pdf vorlage,informational,cluster_02,longtail,Download-Intent,136,7,1.57,featured-snippet|people-also-ask,19.4,estimated,Lohnabrechnung & Payroll
gesetzliche abzüge lohn,informational,cluster_02,body,Wissensfrage,538,43,2.32,featured-snippet|video,12.5,estimated,Lohnabrechnung & Payroll
brutto netto rechner zeitarbeit,informational,cluster_02,longtail,Tool-Suche,78,10,1.01,people-also-ask|video,7.8,estimated,Lohnabrechnung & Payroll
arbeitgeberanteile sozialversicherung,informational,cluster_02,body,Wissensfrage,420,46,2.32,featured-snippet,9.1,estimated,Lohnabrechnung & Payroll
sozialversicherung zeitarbeitnehmer,informational,cluster_02,longtail,Spezialisierung,149,41,1.39,people-also-ask|video,3.6,estimated,Lohnabrechnung & Payroll
lohnsteuer zeitarbeit,informational,cluster_02,body,Steuerfrage,663,52,0.74,featured-snippet|video,12.8,estimated,Lohnabrechnung & Payroll
einkommensteuer zeitarbeit,informational,cluster_02,body,Steuerfrage,591,50,1.53,featured-snippet|people-also-ask|video,11.8,estimated,Lohnabrechnung & Payroll
lohnabrechnung outsourcing kosten,commercial,cluster_02,longtail,Pricing,94,63,4.52,site-links,1.5,estimated,Lohnabrechnung & Payroll
lohnabrechnung externer dienstleister,commercial,cluster_02,longtail,Service,132,51,4.71,site-links,2.6,estimated,Lohnabrechnung & Payroll
lohnabrechnung was beachten,informational,cluster_02,longtail,Wie-Frage,131,7,1.62,featured-snippet|people-also-ask,18.7,estimated,Lohnabrechnung & Payroll
lohnabrechnung fehler vermeiden,informational,cluster_02,longtail,Risiko,25,31,0.37,featured-snippet|people-also-ask,0.8,estimated,Lohnabrechnung & Payroll
lohnabrechnung digitalisieren,commercial,cluster_02,longtail,Trend,183,29,3.31,shopping,6.3,estimated,Lohnabrechnung & Payroll
digitale lohnabrechnung,commercial,cluster_02,body,Trend,391,46,11.9,ads|shopping,8.5,estimated,Lohnabrechnung & Payroll
elektronische lohnabrechnung,commercial,cluster_02,body,Trend,759,61,4.78,shopping,12.4,estimated,Lohnabrechnung & Payroll
automatisierte lohnabrechnung,commercial,cluster_02,longtail,Trend,84,31,4.1,ads|site-links,2.7,estimated,Lohnabrechnung & Payroll
lohnabrechnung datev integration,commercial,cluster_02,longtail,Integration,50,30,5.06,shopping,1.7,estimated,Lohnabrechnung & Payroll
lohnabrechnung lexware vs datev,commercial,cluster_02,longtail,Comparison,98,61,7.46,ads|shopping|site-links,1.6,estimated,Lohnabrechnung & Payroll
lohnabrechnung sage,commercial,cluster_02,body,Wettbewerb,604,47,11.71,ads|shopping,12.9,estimated,Lohnabrechnung & Payroll
lohnabrechnung addison,commercial,cluster_02,body,Wettbewerb,400,54,4.69,ads,7.4,estimated,Lohnabrechnung & Payroll
zuschläge berechnen zeitarbeit,informational,cluster_02,longtail,Wissensfrage,52,19,1.13,featured-snippet,2.7,estimated,Lohnabrechnung & Payroll
nachtzuschlag zeitarbeit,informational,cluster_02,longtail,Wissensfrage,89,19,2.48,featured-snippet|people-also-ask|video,4.7,estimated,Lohnabrechnung & Payroll
sonntagszuschlag zeitarbeit,informational,cluster_02,longtail,Wissensfrage,160,22,1.37,people-also-ask|video,7.3,estimated,Lohnabrechnung & Payroll
feiertagszuschlag zeitarbeit,informational,cluster_02,longtail,Wissensfrage,95,31,2.44,featured-snippet,3.1,estimated,Lohnabrechnung & Payroll
urlaubsgeld zeitarbeit,informational,cluster_02,body,Wissensfrage,86,15,1.63,featured-snippet|people-also-ask|video,5.7,estimated,Lohnabrechnung & Payroll
weihnachtsgeld zeitarbeitnehmer,informational,cluster_02,longtail,Wissensfrage,113,21,0.36,featured-snippet|video,5.4,estimated,Lohnabrechnung & Payroll
tarifvertrag zeitarbeit lohn,informational,cluster_02,longtail,Tarif,81,13,1.37,people-also-ask|video,6.2,estimated,Lohnabrechnung & Payroll
igz lohntabelle 2026,informational,cluster_02,longtail,Tarif aktuell,38,30,0.73,featured-snippet|people-also-ask,1.3,estimated,Lohnabrechnung & Payroll
bap lohntabelle,informational,cluster_02,longtail,Tarif,33,21,1.17,featured-snippet|people-also-ask,1.6,estimated,Lohnabrechnung & Payroll
mindestlohn zeitarbeit 2026,informational,cluster_02,longtail,Aktuell,70,22,0.5,featured-snippet|people-also-ask,3.2,estimated,Lohnabrechnung & Payroll
lohnabrechnung leiharbeiter,informational,cluster_02,body,Synonym,350,45,0.32,video,7.8,estimated,Lohnabrechnung & Payroll
abrechnung zeitarbeitnehmer,informational,cluster_02,body,Synonym,280,19,1.09,featured-snippet|video,14.7,estimated,Lohnabrechnung & Payroll
recruiting software,commercial,cluster_03,head,Hauptbegriff,1149,52,6.81,ads,22.1,estimated,Recruiting & Bewerbermanagement
zvoove recruit,commercial,cluster_03,head,Brand,1369,61,3.75,shopping|site-links,22.4,estimated,Recruiting & Bewerbermanagement
zvoove recruit preise,commercial,cluster_03,longtail,Kaufphase,79,41,4.6,ads|shopping,1.9,estimated,Recruiting & Bewerbermanagement
zvoove recruit demo,commercial,cluster_03,longtail,Lead,78,36,6.27,ads|shopping,2.2,estimated,Recruiting & Bewerbermanagement
ats software,commercial,cluster_03,head,Kategorie,3060,78,10.59,ads,39.2,estimated,Recruiting & Bewerbermanagement
applicant tracking system deutsch,commercial,cluster_03,body,Synonym,671,50,2.65,ads,13.4,estimated,Recruiting & Bewerbermanagement
bewerbermanagement software,commercial,cluster_03,head,Hauptbegriff,5670,84,10.51,shopping,67.5,estimated,Recruiting & Bewerbermanagement
bewerbermanagement zeitarbeit,commercial,cluster_03,body,Spezialisierung,500,74,6.55,shopping|site-links,6.8,estimated,Recruiting & Bewerbermanagement
bewerbermanagement system,commercial,cluster_03,head,Synonym,1138,67,9.09,ads|shopping,17.0,estimated,Recruiting & Bewerbermanagement
bewerbermanagement vergleich,commercial,cluster_03,longtail,Vergleich,136,45,6.89,ads,3.0,estimated,Recruiting & Bewerbermanagement
recruiting tool zeitarbeit,commercial,cluster_03,body,Spezialisierung,666,62,2.94,site-links,10.7,estimated,Recruiting & Bewerbermanagement
recruiting plattform,commercial,cluster_03,body,Generisch,796,66,8.35,ads|site-links,12.1,estimated,Recruiting & Bewerbermanagement
multiposting software,commercial,cluster_03,body,Funktion,439,43,6.27,shopping,10.2,estimated,Recruiting & Bewerbermanagement
multiposting jobbörsen,informational,cluster_03,body,Funktion,352,34,1.57,featured-snippet,10.4,estimated,Recruiting & Bewerbermanagement
multiposting kosten,commercial,cluster_03,longtail,Pricing,10,50,8.32,ads|shopping,0.2,estimated,Recruiting & Bewerbermanagement
job multiposting tool,commercial,cluster_03,longtail,Funktion,100,65,6.99,shopping,1.5,estimated,Recruiting & Bewerbermanagement
stellenanzeige schalten,informational,cluster_03,body,Aufgabe,404,36,0.78,featured-snippet,11.2,estimated,Recruiting & Bewerbermanagement
stellenanzeige schalten kosten,commercial,cluster_03,longtail,Pricing,79,36,6.31,ads|shopping,2.2,estimated,Recruiting & Bewerbermanagement
stellenanzeige formulieren,informational,cluster_03,longtail,Wie-Frage,92,40,1.43,video,2.3,estimated,Recruiting & Bewerbermanagement
stellenanzeige vorlage zeitarbeit,informational,cluster_03,longtail,Vorlage,49,12,0.8,featured-snippet|people-also-ask,4.1,estimated,Recruiting & Bewerbermanagement
stellenanzeige beispiel,informational,cluster_03,body,Vorlage,169,16,0.52,video,10.6,estimated,Recruiting & Bewerbermanagement
beste jobbörsen deutschland,informational,cluster_03,body,Recherche,98,24,1.22,people-also-ask,4.1,estimated,Recruiting & Bewerbermanagement
indeed alternative,commercial,cluster_03,body,Wettbewerb,549,58,11.86,shopping,9.5,estimated,Recruiting & Bewerbermanagement
stepstone alternative,commercial,cluster_03,body,Wettbewerb,141,48,5.71,ads|site-links,2.9,estimated,Recruiting & Bewerbermanagement
xing kosten arbeitgeber,informational,cluster_03,body,Pricing,98,34,0.37,people-also-ask|video,2.9,estimated,Recruiting & Bewerbermanagement
linkedin recruiter kosten,informational,cluster_03,longtail,Pricing,17,44,1.18,featured-snippet,0.4,estimated,Recruiting & Bewerbermanagement
active sourcing zeitarbeit,informational,cluster_03,longtail,Methode,106,10,1.9,featured-snippet|people-also-ask,10.6,estimated,Recruiting & Bewerbermanagement
active sourcing tools,commercial,cluster_03,body,Methode,736,74,4.26,shopping|site-links,9.9,estimated,Recruiting & Bewerbermanagement
candidate experience verbessern,informational,cluster_03,longtail,Best Practice,195,7,0.4,featured-snippet|people-also-ask|video,27.9,estimated,Recruiting & Bewerbermanagement
bewerberprozess automatisieren,informational,cluster_03,longtail,Trend,172,45,1.88,video,3.8,estimated,Recruiting & Bewerbermanagement
bewerberkommunikation chatbot,commercial,cluster_03,longtail,KI,20,66,9.96,ads|shopping,0.3,estimated,Recruiting & Bewerbermanagement
karriereseite erstellen,informational,cluster_03,body,Aufgabe,706,19,0.43,featured-snippet|people-also-ask,37.2,estimated,Recruiting & Bewerbermanagement
karriereseite zeitarbeit,informational,cluster_03,longtail,Spezialisierung,11,16,1.84,featured-snippet|people-also-ask,0.7,estimated,Recruiting & Bewerbermanagement
employer branding zeitarbeit,informational,cluster_03,longtail,Marketing,187,17,2.4,featured-snippet,11.0,estimated,Recruiting & Bewerbermanagement
employer branding kmu,informational,cluster_03,longtail,Segment,182,40,2.16,featured-snippet|video,4.5,estimated,Recruiting & Bewerbermanagement
fachkräftemangel zeitarbeit,informational,cluster_03,body,Branchenproblem,276,40,0.65,people-also-ask,6.9,estimated,Recruiting & Bewerbermanagement
mitarbeiter werben zeitarbeit,informational,cluster_03,longtail,Recruiting-Aufgabe,106,23,0.37,featured-snippet|people-also-ask,4.6,estimated,Recruiting & Bewerbermanagement
bewerber finden,informational,cluster_03,head,Generisch,2768,39,1.54,featured-snippet,71.0,estimated,Recruiting & Bewerbermanagement
bewerber gewinnen zeitarbeit,informational,cluster_03,longtail,Spezialisierung,16,17,1.23,featured-snippet|video,0.9,estimated,Recruiting & Bewerbermanagement
bewerber pool aufbauen,informational,cluster_03,longtail,Methode,96,17,0.91,featured-snippet|video,5.6,estimated,Recruiting & Bewerbermanagement
recruiting kennzahlen,informational,cluster_03,body,KPI,195,33,0.97,people-also-ask,5.9,estimated,Recruiting & Bewerbermanagement
time to hire optimieren,informational,cluster_03,longtail,KPI,29,45,1.61,featured-snippet,0.6,estimated,Recruiting & Bewerbermanagement
cost per hire berechnen,informational,cluster_03,longtail,KPI,75,44,1.83,featured-snippet,1.7,estimated,Recruiting & Bewerbermanagement
recruiting funnel,informational,cluster_03,body,Methode,302,43,1.32,featured-snippet|people-also-ask|video,7.0,estimated,Recruiting & Bewerbermanagement
talentpool software,commercial,cluster_03,body,Tool,544,69,6.27,site-links,7.9,estimated,Recruiting & Bewerbermanagement
zeiterfassung software,commercial,cluster_04,head,Hauptbegriff,4892,76,8.87,ads|site-links,64.4,estimated,Zeiterfassung & Disposition
zeiterfassung zeitarbeit,commercial,cluster_04,body,Spezialisierung,575,69,9.41,ads,8.3,estimated,Zeiterfassung & Disposition
zeiterfassungssystem zeitarbeit,commercial,cluster_04,longtail,Spezialisierung,90,44,8.15,ads|shopping|site-links,2.0,estimated,Zeiterfassung & Disposition
mobile zeiterfassung,commercial,cluster_04,head,Trend Mobile,4743,82,5.13,shopping|site-links,57.8,estimated,Zeiterfassung & Disposition
mobile zeiterfassung app,commercial,cluster_04,body,App,755,39,2.83,shopping,19.4,estimated,Zeiterfassung & Disposition
zeiterfassung app zeitarbeit,commercial,cluster_04,longtail,Spezialisierung,159,30,7.49,site-links,5.3,estimated,Zeiterfassung & Disposition
digitale zeiterfassung,commercial,cluster_04,head,Trend,3656,77,8.72,shopping,47.5,estimated,Zeiterfassung & Disposition
zeiterfassung pflicht 2026,informational,cluster_04,longtail,Gesetz,82,11,1.63,people-also-ask|video,7.5,estimated,Zeiterfassung & Disposition
gesetzliche zeiterfassungspflicht,informational,cluster_04,body,Gesetz,223,33,1.49,featured-snippet|video,6.8,estimated,Zeiterfassung & Disposition
arbeitszeiterfassung urteil eugh,informational,cluster_04,longtail,Rechtsprechung,41,40,0.97,featured-snippet|people-also-ask,1.0,estimated,Zeiterfassung & Disposition
arbeitszeitgesetz zeitarbeit,informational,cluster_04,longtail,Gesetz,159,24,2.35,featured-snippet,6.6,estimated,Zeiterfassung & Disposition
disposition zeitarbeit software,commercial,cluster_04,longtail,Funktion,161,63,10.82,ads|site-links,2.6,estimated,Zeiterfassung & Disposition
disposition zeitarbeitnehmer,informational,cluster_04,body,Funktion,395,26,1.67,video,15.2,estimated,Zeiterfassung & Disposition
einsatzplanung zeitarbeit,commercial,cluster_04,body,Funktion,658,49,2.95,ads,13.4,estimated,Zeiterfassung & Disposition
einsatzplanung software,commercial,cluster_04,head,Tool,2335,47,2.15,ads|shopping,49.7,estimated,Zeiterfassung & Disposition
schichtplanung software,commercial,cluster_04,body,Tool,225,57,6.24,ads,3.9,estimated,Zeiterfassung & Disposition
schichtplanung zeitarbeit,commercial,cluster_04,longtail,Spezialisierung,88,64,9.55,ads|shopping,1.4,estimated,Zeiterfassung & Disposition
dienstplan software,commercial,cluster_04,body,Tool,779,62,4.04,ads|shopping,12.6,estimated,Zeiterfassung & Disposition
personaleinsatzplanung,informational,cluster_04,head,Generisch,4799,64,1.15,featured-snippet|video,75.0,estimated,Zeiterfassung & Disposition
personaleinsatzplanung software,commercial,cluster_04,body,Tool,222,66,9.18,ads|site-links,3.4,estimated,Zeiterfassung & Disposition
arbeitszeitkonto führen,informational,cluster_04,body,Aufgabe,376,39,2.02,people-also-ask,9.6,estimated,Zeiterfassung & Disposition
zeiterfassung gps,commercial,cluster_04,longtail,Tech,13,37,6.43,ads|shopping|site-links,0.4,estimated,Zeiterfassung & Disposition
zeiterfassung biometrisch,commercial,cluster_04,longtail,Tech,100,57,10.73,ads|shopping,1.8,estimated,Zeiterfassung & Disposition
stundenzettel digital,commercial,cluster_04,longtail,Tool,171,28,4.94,ads|site-links,6.1,estimated,Zeiterfassung & Disposition
stundenzettel app zeitarbeit,commercial,cluster_04,longtail,App,67,28,3.47,ads|site-links,2.4,estimated,Zeiterfassung & Disposition
stundenerfassung kunde,informational,cluster_04,longtail,Workflow,21,27,1.67,featured-snippet,0.8,estimated,Zeiterfassung & Disposition
stundenerfassung baustelle,informational,cluster_04,longtail,Branche,86,11,2.0,featured-snippet|people-also-ask|video,7.8,estimated,Zeiterfassung & Disposition
zeiterfassung handwerk,commercial,cluster_04,body,Branche,618,41,8.2,ads|shopping,15.1,estimated,Zeiterfassung & Disposition
zeiterfassung gebäudereinigung,commercial,cluster_04,longtail,Branche,184,39,9.28,ads|site-links,4.7,estimated,Zeiterfassung & Disposition
zeiterfassung pflege,commercial,cluster_04,body,Branche,629,52,8.36,ads|shopping,12.1,estimated,Zeiterfassung & Disposition
zeiterfassung baustelle,commercial,cluster_04,longtail,Branche,129,31,8.8,ads|shopping,4.2,estimated,Zeiterfassung & Disposition
zeiterfassung kosten,commercial,cluster_04,body,Pricing,219,65,10.8,ads|site-links,3.4,estimated,Zeiterfassung & Disposition
zeiterfassung kostenlos,commercial,cluster_04,longtail,Sparvariante,171,47,10.83,ads|shopping,3.6,estimated,Zeiterfassung & Disposition
zeiterfassung dsgvo,informational,cluster_04,longtail,Compliance,150,30,1.71,featured-snippet|people-also-ask,5.0,estimated,Zeiterfassung & Disposition
zeiterfassung betriebsrat,informational,cluster_04,longtail,Mitbestimmung,14,20,0.62,video,0.7,estimated,Zeiterfassung & Disposition
zeiterfassung manipulationssicher,commercial,cluster_04,longtail,USP,95,48,11.11,shopping|site-links,2.0,estimated,Zeiterfassung & Disposition
clockodo alternative,commercial,cluster_04,longtail,Wettbewerb,17,62,2.27,shopping,0.3,estimated,Zeiterfassung & Disposition
timetac alternative,commercial,cluster_04,longtail,Wettbewerb,13,60,8.65,ads|shopping|site-links,0.2,estimated,Zeiterfassung & Disposition
einsatzplanung excel ablösen,informational,cluster_04,longtail,Migration,195,37,1.3,people-also-ask|video,5.3,estimated,Zeiterfassung & Disposition
disposition optimieren,informational,cluster_04,longtail,Optimierung,31,14,1.8,people-also-ask|video,2.2,estimated,Zeiterfassung & Disposition
factoring zeitarbeit,commercial,cluster_05,head,Hauptbegriff,2219,85,8.96,shopping,26.1,estimated,Liquiditaet & Factoring
zvoove cashlink,commercial,cluster_05,head,Brand,2982,47,5.67,shopping,63.4,estimated,Liquiditaet & Factoring
zvoove cashlink kosten,commercial,cluster_05,longtail,Pricing,104,27,10.01,shopping|site-links,3.9,estimated,Liquiditaet & Factoring
zvoove cashlink erfahrungen,commercial,cluster_05,longtail,Reviews,59,30,8.13,ads,2.0,estimated,Liquiditaet & Factoring
factoring personaldienstleister,commercial,cluster_05,body,Zielgruppe,288,61,10.69,shopping|site-links,4.7,estimated,Liquiditaet & Factoring
factoring zeitarbeitsunternehmen,commercial,cluster_05,longtail,Zielgruppe,101,61,3.35,site-links,1.7,estimated,Liquiditaet & Factoring
factoring kosten zeitarbeit,commercial,cluster_05,longtail,Pricing,170,41,5.81,ads|shopping,4.1,estimated,Liquiditaet & Factoring
factoring vergleich anbieter,commercial,cluster_05,longtail,Vergleich,140,44,11.98,ads,3.2,estimated,Liquiditaet & Factoring
echtes factoring,informational,cluster_05,body,Variante,244,19,0.64,video,12.8,estimated,Liquiditaet & Factoring
unechtes factoring,informational,cluster_05,body,Variante,161,51,0.91,featured-snippet|video,3.2,estimated,Liquiditaet & Factoring
stilles factoring,informational,cluster_05,body,Variante,170,29,1.81,featured-snippet,5.9,estimated,Liquiditaet & Factoring
offenes factoring,informational,cluster_05,body,Variante,296,39,1.22,featured-snippet|video,7.6,estimated,Liquiditaet & Factoring
factoring gebühren,commercial,cluster_05,body,Pricing,222,51,8.92,site-links,4.4,estimated,Liquiditaet & Factoring
factoring zinsen,commercial,cluster_05,body,Pricing,80,59,8.79,shopping|site-links,1.4,estimated,Liquiditaet & Factoring
factoring vorteile zeitarbeit,informational,cluster_05,longtail,Nutzen,163,26,2.15,featured-snippet,6.3,estimated,Liquiditaet & Factoring
factoring nachteile,informational,cluster_05,body,Nutzen,120,46,1.53,people-also-ask,2.6,estimated,Liquiditaet & Factoring
