keyword,estimated_intent,category,type,notes,search_volume,kd,cpc_eur,serp_features,priority_score,data_source,keyword_clean,orig_cluster_name,hdb,hier10,hier12,noise_assigned,hdb_label,hdb_label_de
markt zeitarbeit deutschland,informational,cluster_10,body,Marktanalyse,484,38,1.4,featured-snippet|video,12.7,estimated,markt zeitarbeit deutschland,Branchentrends & Marktentwicklung,5,5,6,True,Staffing Laws and Market Trends,Zeitarbeit Gesetze und Markttrends
deckungsbeitrag zeitarbeit,informational,cluster_11,body,KPI,560,44,1.98,featured-snippet|people-also-ask,12.7,estimated,deckungsbeitrag zeitarbeit,Kundenreferenzen & ROI,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
saas zeitarbeit,commercial,cluster_01,body,Liefermodell,707,56,5.76,ads|shopping|site-links,12.6,estimated,saas zeitarbeit,Zeitarbeitssoftware & zvoove One,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
dienstplan software,commercial,cluster_04,body,Tool,779,62,4.04,ads|shopping,12.6,estimated,dienstplan software,Zeiterfassung & Disposition,10,2,3,False,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
arbeitsschutz zeitarbeit,informational,cluster_06,body,Pflicht,464,37,1.46,people-also-ask,12.5,estimated,arbeitsschutz zeitarbeit,AUEG & Rechtssicherheit,11,7,9,False,Employee Leasing Legal Framework,Arbeitnehmerüberlassung Rechtliche Grundlagen
gesetzliche abzüge lohn,informational,cluster_02,body,Wissensfrage,538,43,2.32,featured-snippet|video,12.5,estimated,gesetzliche abzüge lohn,Lohnabrechnung & Payroll,5,8,10,False,Staffing Laws and Market Trends,Zeitarbeit Gesetze und Markttrends
elektronische lohnabrechnung,commercial,cluster_02,body,Trend,759,61,4.78,shopping,12.4,estimated,elektronische lohnabrechnung,Lohnabrechnung & Payroll,7,4,5,False,Digital Transformation of HR Services,Digitalisierung Personaldienstleistung
zvoove one,commercial,cluster_01,head,Brand-Keyword,928,75,5.2,ads|shopping,12.4,estimated,zvoove one,Zeitarbeitssoftware & zvoove One,3,10,12,False,Zvoove Platform Features and Pricing,Zvoove Plattform Features und Preise
ausbildung zeitarbeit,informational,cluster_09,body,Strategie,617,50,0.74,people-also-ask,12.3,estimated,ausbildung zeitarbeit,HR & Mitarbeiterverwaltung,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
ki bewerbermanagement,informational,cluster_12,body,Trend,506,41,0.34,video,12.3,estimated,ki bewerbermanagement,KI & Automatisierung im Recruiting,6,5,7,True,Personnel Management and Recruiting Processes,Personalverwaltung und Recruiting Prozesse
zeiterfassung pflege,commercial,cluster_04,body,Branche,629,52,8.36,ads|shopping,12.1,estimated,zeiterfassung pflege,Zeiterfassung & Disposition,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
gebäudedienstleistung software,commercial,cluster_08,body,Synonym,615,51,11.53,ads,12.1,estimated,gebäudedienstleistung software,Gebaeudedienstleistung Software,10,2,3,False,HR and Document Management Software,HR und Dokumentenverwaltungssoftware
randstad konkurrenz,informational,cluster_10,longtail,Wettbewerb,169,14,1.03,featured-snippet|people-also-ask,12.1,estimated,randstad konkurrenz,Branchentrends & Marktentwicklung,2,3,4,False,AI-Powered Recruiting and Sourcing,KI-gestütztes Recruiting und Sourcing
recruiting plattform,commercial,cluster_03,body,Generisch,796,66,8.35,ads|site-links,12.1,estimated,recruiting plattform,Recruiting & Bewerbermanagement,2,3,4,False,AI-Powered Recruiting and Sourcing,KI-gestütztes Recruiting und Sourcing
einkommensteuer zeitarbeit,informational,cluster_02,body,Steuerfrage,591,50,1.53,featured-snippet|people-also-ask|video,11.8,estimated,einkommensteuer zeitarbeit,Lohnabrechnung & Payroll,11,7,9,True,Employee Leasing Legal Framework,Arbeitnehmerüberlassung Rechtliche Grundlagen
lohnabrechnung zeitarbeit,commercial,cluster_02,head,Hauptbegriff,851,72,11.92,ads|site-links,11.8,estimated,lohnabrechnung zeitarbeit,Lohnabrechnung & Payroll,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
demografischer wandel arbeitsmarkt,informational,cluster_10,longtail,Trend,164,14,0.57,featured-snippet,11.7,estimated,demografischer wandel arbeitsmarkt,Branchentrends & Marktentwicklung,11,7,9,False,Employee Leasing Legal Framework,Arbeitnehmerüberlassung Rechtliche Grundlagen
lohnabrechnung software zeitarbeit,commercial,cluster_02,body,Tool-Suche,780,68,11.5,site-links,11.5,estimated,lohnabrechnung software zeitarbeit,Lohnabrechnung & Payroll,1,1,1,False,Time Tracking and Staffing Software,Zeiterfassung und Zeitarbeitssoftware
inkasso zeitarbeit,commercial,cluster_05,body,Service,454,40,5.29,ads|shopping,11.3,estimated,inkasso zeitarbeit,Liquiditaet & Factoring,12,6,8,False,Staffing Industry Software and Tools,Zeitarbeit Branche Software und Tools
